lat,line,line_color,lon,order,station,year,depth,number
55.690038,Московское центральное кольцо,#F9BCD1,37.605,18,Крымская,2016,0,14
55.70694399999999,Московское центральное кольцо,#F9BCD1,37.585833,19,Площадь Гагарина,2016,16,14
55.720278,Московское центральное кольцо,#F9BCD1,37.563056,20,Лужники,2016,0,14
55.740832999999995,Московское центральное кольцо,#F9BCD1,37.533333,21,Кутузовская,2016,0,14
55.747222,Московское центральное кольцо,#F9BCD1,37.532222,22,Деловой центр,2016,0,14
55.7575,Московское центральное кольцо,#F9BCD1,37.525556,23,Шелепиха,2016,0,14
55.777221999999995,Московское центральное кольцо,#F9BCD1,37.507222,24,Хорошёво,2016,0,14
55.787778,Московское центральное кольцо,#F9BCD1,37.504444,25,Зорге,2016,0,14
55.799167000000004,Московское центральное кольцо,#F9BCD1,37.498889,26,Панфиловская,2016,0,14
55.813611,Московское центральное кольцо,#F9BCD1,37.486944,27,Стрешнево,2016,0,14
55.825832999999996,Московское центральное кольцо,#F9BCD1,37.496111,28,Балтийская,2016,0,14
55.839636999999996,Московское центральное кольцо,#F9BCD1,37.520037,29,Коптево,2016,0,14
55.847221999999995,Московское центральное кольцо,#F9BCD1,37.551389,30,Лихоборы,2016,0,14
55.819049,Монорельс,#006DA8,37.578882,0,Тимирязевская,2004,6,13
55.821876,Монорельс,#006DA8,37.591206,1,Улица Милашенкова,2004,6,13
55.821794999999995,Монорельс,#006DA8,37.608975,2,Телецентр,2004,6,13
55.82182099999999,Монорельс,#006DA8,37.627167,3,Улица Академика Королёва,2004,12,13
55.824086,Монорельс,#006DA8,37.638494,4,Выставочный центр,2004,6,13
55.829305000000005,Монорельс,#006DA8,37.644997,5,Улица Сергея Эйзенштейна,2004,6,13
55.79233000000001,Большая кольцевая линия,#88CDCF,37.55952,0,Петровский парк,2018,-25,11
55.78643,Большая кольцевая линия,#88CDCF,37.53502,1,ЦСКА,2018,-28,11
55.776430000000005,Большая кольцевая линия,#88CDCF,37.51981,2,Хорошевская,2018,-21,11
55.75723000000001,Большая кольцевая линия,#88CDCF,37.52571,3,Шелепиха,2018,-18,11
55.7491,Большая кольцевая линия,#88CDCF,37.5395,4,Деловой центр,2018,-30,11
